1865	John A'Deane
1866	Edgar Aabye
1867	Jacob Aaland
1868	Joaquín Abati
1869	Abe Isoo
1870	Manuk Abeghian
1871	Hovhannes Abelian
1872	Kyutaro Abiko
1873	Allen Abraham
1874	Forrest Adair
1875	William Augustus Adam
1876	A. I. Adams
1877	Almeda C. Adams
1878	Ephraim Douglass Adams
1879	Henry Percy Adams
1880	Lily Osman Adams
1881	Mabel Ellery Adams
1882	W. I. Lincoln Adams
1883	Agar Adamson
1884	Horatio George Adamson
1885	Jack Addenbrooke
1886	Rudolf Aderhold
1887	Edith Helena Adie
1888	Agnes Adler
1889	Jules Adler
1890	Nicolaus Adriani
1891	Afonso, Duke of Porto
1892	Andrew Agar
1893	Sadykh bey Aghabeyov
1894	Bill Ahern (footballer, born 1865)
1895	Rafiuddin Ahmed
1896	Anders Ahonen
1897	Kate M. Ainey
1898	Thomas Ainscough
1899	Douglas Ainslie
1900	Peter Airey
1901	Sakina Akhundzadeh
1902	Rafīq Bey al-ʿAzm
1903	Filoteo Alberini
1904	Heinrich Albers-Schönberg
1905	Albrecht, Duke of Württemberg
1906	Frank Herman Albright
1907	Jehanne D'Alcy
1908	Percy Alden
1909	Louisa Aldrich-Blake
1910	Alexander Khan Setkhanian
1911	Edwyn Alexander-Sinclair
1912	Anna Alexander
1913	James S. Alexander
1914	Viktor Alexander
1915	Shmuel Alexandrov
1916	Anastasio Alfaro
1917	Alex Alfthan
1918	Henry Allan (painter)
1919	Hugh Allan (politician)
1920	Jotham P. Allds
1921	Annie Ware Winsor Allen
1922	Fred J. Allen
1923	John Sandeman Allen (Liverpool West Derby MP)
1924	Robert E. Lee Allen
1925	David Allison (Australian politician)
1926	Charles Allom
1927	Frederick Allsop
1928	Laurence Alma-Tadema
1929	Herb Alward
1930	Duchess Amalie in Bavaria
1931	Juan Bautista Ambrosetti
1932	Carlos Ameghino
1933	Amélie of Orléans
1934	Walther Amelung
1935	Herman Vandenburg Ames
1936	Hermes L. Ames
1937	Alicia Amherst
1938	Cossva Anckarsvärd
1939	Bill Anderson (1880s pitcher)
1940	Carl Thomas Anderson
1941	Charles P. Anderson
1942	David Anderson (Australian politician)
1943	Hugh Kerr Anderson
1944	Joseph Gaudentius Anderson
1945	Joshua Thomas Noble Anderson
1946	Nephi Anderson
1947	Nick Anderson (footballer)
1948	Robert Anderson (Australian general)
1949	Walter Anderson (Australian politician)
1950	Albert Andersson (missionary)
1951	Andranik
1952	A.J. Andrews
1953	Jim Andrews
1954	John Arthur Andrews
1955	Walter Andrews (cricketer)
1956	William L. Andrews
1957	Pakhomy Andreyushkin
1958	Francis Alexander Anglin
1959	William Angliss
1960	Henry Angus (politician)
1961	Marion Angus
1962	Benjamin Anneberg
1963	Edwin P. Ansley
1964	Frank Anstey
1965	Charles E. Apgar
1966	Reginald Appleby
1967	Gertrude Appleyard
1968	Hambardzum Arakelian
1969	Sabino Arana
1970	Manuel Enrique Araujo
1971	John Archer (New Zealand politician)
1972	Ardeshir Reporter
1973	Tomás Arejola
1974	Ira Eugene Argue
1975	Eugene Armbruster
1976	Eleanora Armitage
1977	Tiburcio Arnáiz Muñoz
1978	Paul Arndt
1979	Clara Arnheim
1980	Ethel Arnold
1981	Maurice Arnold
1982	Arthur James Arnot
1983	Franciszka Arnsztajnowa
1984	Hans Aronson
1985	Joseph-Félix Arsenault
1986	Julio C. Arteaga
1987	Richard Arthur (Australian politician)
1988	Abraham L. Artz
1989	Abdulhakim Arvasi
1990	Nettie Craig Asberry
1991	Max Askanazy
1992	Claude Askew
1993	Aspazija
1994	Frederick Atherton
1995	James Somerville, 2nd Baron Athlumney
1996	Joseph E. Atkinson
1997	Walter Attewell
1998	Jennie Pond Atwater
1999	Josef Maria Auchentaller
2000	Aleksander Augustynowicz
2001	Albert Aurier
2002	Alfred Averill
2003	John Buttencourt Avila
2004	William Aykroyd
2005	Irving Babbitt
2006	Gustave Babin
2007	Elfego Baca
2008	Anton Bacalbașa
2009	Franciscus Hermanus Bach
2010	Lazar Bačić
2011	Albertine Badenberg
2012	John Haden Badley
2013	Edmund H. Baggs
2014	Richard Bagnall-Oakeley
2015	Giuseppe Bagnera (mathematician)
2016	Theodosia Bagot
2017	Frank Bailey (financier)
2018	Pearce Bailey
2019	George Grantham Bain
2020	Joseph E. Baird
2021	Edward L. Baker Jr.
2022	Mohammad Jawad al-Balaghi
2023	Guy Melfort Baldwin
2024	Ruth Standish Baldwin
2025	Thomas Ball (New Zealand cricketer)
2026	Charles Bally
2027	Wilhelm Balmer
2028	Frank Ellis Bamford
2029	Francis Banks
2030	Jim Banning
2031	Nikolai Baratov
2032	Edward Thaddeus Barleycorn Barber
2033	Billy Barbour
2034	Janie Porter Barrett
2035	Everard Baring
2036	William P. Barksdale
2037	Mary Kate Barlow
2038	Samuel Barnes (Australian politician)
2039	Warren Delabere Barnes
2040	Louis Barnett
2041	Charles Lloyd Barnhouse
2042	Bob Barr (footballer, born 1865)
2043	Richard J. Barr
2044	Tomasz Bartkiewcz
2045	Paul Wayland Bartlett
2046	Marmaduke Barton
2047	Charlie Bartson
2048	A. E. Bassom
2049	Lee Batchelor
2050	George Bateman
2051	Victory Bateman
2052	Albert Carlos Bates
2053	Mary Bateson (historian)
2054	Annie Maude Norton Battelle
2055	Frederick Batten
2056	Emilie Frances Bauer
2057	Louis Agricola Bauer
2058	Yevgeni Bauer
2059	Alfred Baur
2060	Benjamin Bawa
2061	Arthur Bayldon
2062	Norman Bayles
2063	Arthur Wellesley Bayley
2064	Percy Bayne
2065	T. L. Bayne
2066	Willard Livingstone Beard
2067	Henry Curtis Beardslee
2068	William Thomas Beck
2069	Harry Becker (artist)
2070	Mary Russell, Duchess of Bedford
2071	Louis Beguin-Billecocq
2072	Isolde Beidler
2073	Otto Beit
2074	Gregor Belkovsky
2075	Florence Harrison Bell
2076	George Belt
2077	Frederick Bendall
2078	Arthur Lincoln Benedict
2079	John Bradbury Bennet
2080	Francis Bennett-Goldney
2081	Ernest Bennett (politician)
2082	John Bennett (author)
2083	John Prentiss Benson
2084	Margaret Benson
2085	Wilson Bentley
2086	Guy Potter Benton
2087	John Benton (footballer)
2088	Micha Josef Berdyczewski
2089	Bernard Berenson
2090	Hart O. Berg
2091	Anna Farquhar Bergengren
2092	Ludvig Bergh
2093	Piet van den Bergh
2094	Heinrich Bergner
2095	Friedrich Robert von Beringe
2096	Comyns Berkeley
2097	Jacob Berner (politician)
2098	Hermine Bernhoft-Osa
2099	Ignacio Berriochoa
2100	George Ricker Berry
2101	Mary Fleetwood Berry
2102	Mariana Bertola
2103	Helen Bertram
2104	Samuel Reading Bertron
2105	Natanael Beskow
2106	William George Besler
2107	H. W. Bessemer
2108	Edith Best (musician)
2109	John C. Best
2110	William Best (cricketer)
2111	William Betts (umpire)
2112	Robert Bevan
2113	İsmail Hakki Bey
2114	Bhagvatsinhji
2115	Budhindranath Delihial Bhattacharya
2116	Edoardo Bianchi
2117	Little Franciscans of Mary
2118	Charles L. Biedenbach
2119	Piotr Ignacy Bieńkowski
2120	Lou Bierbauer
2121	Otto Julius Bierbaum
2122	Marie de Bièvre
2123	Walter J. Bigelow
2124	Olavo Bilac
2125	Heinrich Biltz
2126	Jesse Binga
2127	Noel Birch
2128	William Birdwood
2129	Thomas Birley
2130	George A. Birmingham
2131	August Bischler
2132	Jacob Bitzer
2133	Black Eagle (lacrosse)
2134	George Ruddell Black
2135	Victoria Grace Blackburn
2136	George Blacker (obstetrician)
2137	Bob Blacklock
2138	Alexander Blair (rugby union)
2139	William Blaisdell
